Random data: 
Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    1,000        0            0            0.000005    
Gnome Sort           true     1,000        2,003,283    500,072      0.036888    
Selection Sort       true     1,000        1,502,483    1,984        0.028661    
BubbleSort           true     1,000        2,388,183    500,072      0.046683    
InsertionSort        true     1,000        752,105      501,071      0.039880    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    2,000        0            0            0.000008    
Gnome Sort           true     2,000        8,167,459    2,040,366    0.118114    
Selection Sort       true     2,000        6,004,981    3,982        0.076662    
BubbleSort           true     2,000        9,828,471    2,040,366    0.204289    
InsertionSort        true     2,000        3,064,546    2,042,365    0.072360    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    3,000        0            0            0.000005    
Gnome Sort           true     3,000        18,247,899   4,559,726    0.117776    
Selection Sort       true     3,000        13,507,489   5,990        0.056657    
BubbleSort           true     3,000        22,139,865   4,559,726    0.246974    
InsertionSort        true     3,000        6,845,586    4,562,725    0.056536    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    4,000        0            0            0.000006    
Gnome Sort           true     4,000        32,195,307   8,045,828    0.189203    
Selection Sort       true     4,000        24,009,991   7,992        0.115646    
BubbleSort           true     4,000        38,846,127   8,045,828    0.520055    
InsertionSort        true     4,000        12,076,739   8,049,827    0.079231    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    5,000        0            0            0.000008    
Gnome Sort           true     5,000        49,970,403   12,488,852   0.249529    
Selection Sort       true     5,000        37,512,479   9,980        0.133128    
BubbleSort           true     5,000        61,649,019   12,488,852   0.650790    
InsertionSort        true     5,000        18,743,275   12,493,851   0.118488    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    6,000        0            0            0.000007    
Gnome Sort           true     6,000        71,585,499   17,891,876   0.349669    
Selection Sort       true     6,000        54,014,975   11,976       0.183819    
BubbleSort           true     6,000        88,500,107   17,891,876   1.263635    
InsertionSort        true     6,000        26,849,811   17,897,875   0.209402    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    7,000        0            0            0.000005    
Gnome Sort           true     7,000        98,144,883   24,530,972   0.492993    
Selection Sort       true     7,000        73,517,491   13,992       0.327149    
BubbleSort           true     7,000        121,663,095  24,530,972   1.566750    
InsertionSort        true     7,000        36,810,455   24,537,971   0.209371    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    8,000        0            0            0.000006    
Gnome Sort           true     8,000        128,452,011  32,107,004   0.566468    
Selection Sort       true     8,000        96,019,975   15,976       0.307042    
BubbleSort           true     8,000        158,891,155  32,107,004   1.887275    
InsertionSort        true     8,000        48,176,503   32,115,003   0.234381    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    9,000        0            0            0.000005    
Gnome Sort           true     9,000        161,625,643  40,399,662   0.737781    
Selection Sort       true     9,000        121,522,481  17,982       0.418634    
BubbleSort           true     9,000        197,846,167  40,399,662   2.269108    
InsertionSort        true     9,000        60,617,490   40,408,661   0.531556    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    10,000       0            0            0.000004    
Gnome Sort           true     10,000       199,786,595  49,939,150   0.870395    
Selection Sort       true     10,000       150,024,981  19,982       0.481374    
BubbleSort           true     10,000       247,359,407  49,939,150   2.625250    
InsertionSort        true     10,000       74,928,722   49,949,149   0.762529    

Ascending Data:
Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    1,000        0            0            0.000010    
Gnome Sort           true     1,000        355,079      88,020       0.027092    
Selection Sort       true     1,000        1,502,471    1,972        0.037702    
BubbleSort           true     1,000        283,825      88,020       0.015933    
InsertionSort        true     1,000        134,029      89,019       0.012497    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    2,000        0            0            0.000004    
Gnome Sort           true     2,000        7,894,079    1,972,020    0.061835    
Selection Sort       true     2,000        6,004,975    3,976        0.049896    
BubbleSort           true     2,000        5,958,027    1,972,020    0.077288    
InsertionSort        true     2,000        2,962,029    1,974,019    0.059037    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    3,000        0            0            0.000005    
Gnome Sort           true     3,000        14,545,079   3,634,020    0.095742    
Selection Sort       true     3,000        13,507,483   5,984        0.071122    
BubbleSort           true     3,000        9,614,027    3,634,020    0.078392    
InsertionSort        true     3,000        5,457,029    3,637,019    0.054739    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    4,000        0            0            0.000006    
Gnome Sort           true     4,000        20,308,079   5,074,020    0.088682    
Selection Sort       true     4,000        24,009,979   7,980        0.093952    
BubbleSort           true     4,000        13,048,027   5,074,020    0.088100    
InsertionSort        true     4,000        7,619,029    5,078,019    0.064729    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    5,000        0            0            0.000004    
Gnome Sort           true     5,000        25,183,079   6,292,020    0.123274    
Selection Sort       true     5,000        37,512,487   9,988        0.112467    
BubbleSort           true     5,000        16,260,027   6,292,020    0.105135    
InsertionSort        true     5,000        9,448,029    6,297,019    0.063326    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    6,000        0            0            0.000006    
Gnome Sort           true     6,000        29,170,079   7,288,020    0.127321    
Selection Sort       true     6,000        54,014,975   11,976       0.183137    
BubbleSort           true     6,000        19,250,027   7,288,020    0.110910    
InsertionSort        true     6,000        10,944,029   7,294,019    0.071609    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    7,000        0            0            0.000006    
Gnome Sort           true     7,000        32,269,079   8,062,020    0.153972    
Selection Sort       true     7,000        73,517,487   13,988       0.276235    
BubbleSort           true     7,000        22,018,027   8,062,020    0.145638    
InsertionSort        true     7,000        12,107,029   8,069,019    0.085727    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    8,000        0            0            0.000009    
Gnome Sort           true     8,000        34,480,079   8,614,020    0.203027    
Selection Sort       true     8,000        96,019,975   15,976       0.386506    
BubbleSort           true     8,000        24,564,027   8,614,020    0.219093    
InsertionSort        true     8,000        12,937,029   8,622,019    0.131653    

Algorithm            Sorted?  Size         Reads        Writes       Seconds     

Null Sort            false    9,000        0            0            0.000005    
Gnome Sort           true     9,000        35,803,079   8,944,020    0.168274    
Selection Sort       true     9,000        121,522,471  17,972       0.386789    
BubbleSort           true     9,000        26,888,027   8,944,020    0.179682    
